Exercice ,Branche,Code Produit,Sous-Branche,Règlement,Day,Month,Year
2019,0,5,1,54128332.15,22,5,2013
2014,0,5,1,53684770.9,8,8,2011
2017,0,5,1,52816854.1,23,10,2014
2022,0,5,1,49658078.24,1,12,2014
2017,0,5,1,49273644.08,30,12,2015
2023,0,5,1,48225000.0,25,3,2022
2017,0,5,1,46433127.14,18,8,2014
2023,0,4,1,45926196.65,13,11,2022
2018,0,5,1,45769915.41,5,4,2016
2019,0,5,1,44058035.74,31,10,2017
2020,0,5,1,42577878.73,22,5,2018
2016,0,5,1,41846559.47,23,6,2013
2019,0,5,1,41671812.35,31,10,2017
2022,0,5,1,40169700.0,2,9,2018
2023,0,5,1,39157544.21,23,8,2021
2017,0,5,1,38813079.57,27,9,2015
2021,0,5,1,38753785.58,24,8,2016
2019,0,5,1,38526838.94,21,5,2014
2020,0,5,1,36721322.33,13,7,2008
2017,0,5,1,35841206.68,28,12,2011
2015,0,5,1,35522450.18,7,1,2011
2023,0,4,1,35138098.86,21,7,2019
2017,0,5,1,33083883.1,23,10,2012
2019,0,5,1,31873122.25,24,1,2019
2017,0,5,1,30773978.74,10,12,2012
2017,0,5,1,30752689.86,19,11,2014
2018,0,5,1,30726167.33,2,1,2017
2020,0,5,1,30513701.6,1,12,2019
2014,0,5,1,30124959.33,25,7,2010
2018,0,5,1,30000000.0,11,12,2017
2016,0,5,1,30000000.0,24,8,2016
2019,0,5,1,29739602.97,3,4,2016
2019,0,5,1,29035240.75,21,5,2003
2016,0,5,1,28823934.4,16,5,2015
2020,0,7,3,32.15,23,10,2016
2015,0,5,1,28605865.47,16,8,2012
2022,0,5,1,28601044.8,25,3,2022
2021,0,5,1,28162700.0,24,11,2019
2022,0,5,1,28107202.02,15,8,2022
2015,0,16,3,99.74,22,4,2012
2019,0,5,1,27765151.92,15,3,2014
2016,0,16,3,121.52,28,9,2014
2018,0,11,2,20600675.85,1,8,2016
2015,0,16,3,145.11,4,2,2012
2021,0,16,3,158.01,6,3,2010
2015,0,5,1,25893873.13,28,5,2012
2023,0,5,1,24851400.54,4,1,2021
2019,0,11,2,18442147.88,5,12,2016
2023,0,11,2,18392394.0,10,10,2020
2020,0,11,2,18000000.0,23,2,2013
2020,0,11,2,15263954.0,17,6,2012
2021,0,11,2,14551837.84,13,10,2016
2021,0,5,1,24500000.0,27,6,2011
2019,0,5,1,23808384.01,11,12,2017
2020,0,5,1,23760812.57,18,12,2017
2017,0,5,1,23724358.75,31,5,2015
2015,0,11,2,14393703.88,4,4,2009
2015,0,5,1,23555009.42,8,3,2015
2023,0,11,2,13217275.34,22,5,2014
2023,0,11,2,13166038.41,20,9,2014
2017,0,11,2,12523588.75,25,7,2014
2023,0,11,2,12000000.0,9,12,2022
2017,0,11,2,11480000.0,23,7,2009
2022,0,11,2,11163196.0,11,2,2017
2017,0,11,2,10268408.0,28,4,2013
2023,0,11,2,9967588.65,5,7,2022
2016,0,11,2,9901333.58,9,9,2013
2016,0,11,2,9897420.0,21,8,2012
2023,0,11,2,9593063.0,11,7,2020
2020,0,5,1,22238626.75,16,7,2018
2016,0,12,2,200.0,5,12,2015
2016,0,12,2,200.0,18,9,2015
2014,0,5,1,21808432.16,30,9,2013
2022,0,5,1,21478194.39,23,12,2019
2018,0,5,1,21357495.0,31,3,2016
2020,0,5,1,21291171.75,16,4,2019
2020,0,5,1,20282496.19,20,2,2020
2018,0,5,1,19927830.71,18,1,2017
2017,0,5,1,19771000.0,16,8,2012
2021,0,5,1,19566693.08,6,7,2020
2022,0,5,1,19356525.13,7,6,2022
2017,0,5,1,18981725.18,26,10,2013
2017,0,11,2,8606496.5,23,3,2017
2014,0,5,1,18866280.0,28,5,2008
2020,0,5,1,18861000.85,23,12,2017
2021,0,11,2,8493797.94,30,11,2018
2020,0,5,1,18616230.34,1,7,2019
2019,0,5,1,18403054.09,11,5,2016
2019,0,5,1,17843631.76,14,3,2017
2015,0,5,1,17834730.39,16,1,2013
2014,0,5,1,17180715.28,8,1,2011
2017,0,5,1,17003162.5,16,11,2010
2023,0,5,1,16613868.7,8,12,2021
2020,0,11,2,8300000.0,10,8,2015
2020,0,11,2,8238720.0,20,10,2018
2017,0,11,2,8184512.0,25,7,2014
2023,0,11,2,8007815.0,10,8,2020
2021,0,11,2,7728000.0,8,5,2018
2016,0,5,1,16333774.54,27,1,2015
2014,0,11,2,7500000.0,28,8,2012
2023,0,11,2,7287181.62,7,4,2022
2021,0,11,2,7129714.14,24,7,2016
2018,0,11,2,6915010.0,4,5,2014
2016,0,11,2,6873621.0,27,8,2010
2023,0,11,2,6828750.0,17,12,2004
2023,0,11,2,6796950.0,9,10,2018
2021,0,11,2,6792655.0,18,6,2021
2020,0,5,1,16135699.66,3,4,2016
2014,0,11,2,6781865.5,10,3,2014
2018,0,11,2,6572750.0,21,7,2016
2023,0,5,1,15791288.53,20,8,2020
2018,0,5,1,15737604.62,3,4,2016
2016,0,5,1,15000000.0,6,1,2016
2020,0,6,1,304.0,26,7,2019
2015,0,5,1,14811246.9,31,5,2012
2020,0,5,1,14533600.0,24,8,2019
2022,0,11,2,6570090.0,26,6,2021
2019,0,5,1,14276182.17,6,1,2016
2020,0,11,2,6333015.0,21,5,2016
2014,0,5,1,14262513.4,19,7,2013
2020,0,5,1,14107200.0,5,2,2019
2021,0,5,1,14000000.0,9,10,2019
2015,0,5,1,13851165.58,14,3,2014
2023,0,5,1,13708095.11,1,6,2016
2014,0,5,1,13671512.8,23,3,2008
2018,0,5,1,13602450.0,10,5,2015
2020,0,5,1,13562500.0,5,8,2015
2014,0,5,1,13492288.01,1,9,2010
2022,0,5,1,12688549.04,9,10,2019
2017,0,11,2,6167010.58,20,6,2016
2019,0,11,2,6000000.0,1,1,2016
2021,0,11,2,5850000.0,6,3,2021
2019,0,11,2,5734000.0,6,6,2014
2018,0,11,2,5610092.58,22,7,2016
2015,0,11,2,5600000.0,19,11,2012
2020,0,11,2,5507000.0,21,11,2013
2022,0,11,2,5460989.0,28,2,2019
2022,0,11,2,5397447.36,28,5,2019
2021,0,11,2,5350000.0,17,12,2013
2017,0,11,2,5329600.0,13,5,2017
2018,0,11,2,5311520.0,4,8,2014
2023,0,11,2,5288060.0,10,6,2021
2021,0,11,2,5195628.0,19,10,2012
2023,0,11,2,5184100.0,7,2,2019
2021,0,11,2,5178906.0,7,2,2019
2021,0,11,2,5178680.0,26,6,2018
2019,0,11,2,5178558.0,8,7,2012
2014,0,11,2,5158938.85,16,8,2009
2019,0,11,2,5000000.0,20,8,2008
2022,0,11,2,5000000.0,30,8,2018
2020,0,11,2,4990542.4,30,6,2018
2015,0,5,1,12335016.71,27,11,2014
2018,0,5,1,12182296.56,7,3,2017
2022,0,11,2,4947502.8,24,9,2020
2019,0,10,1,11815210.99,19,7,2017
2023,0,11,2,4825476.66,11,1,2022
2020,0,11,2,4776917.84,1,7,2018
2020,0,5,1,11731263.83,15,5,2011
2020,0,5,1,11557668.8,16,5,2019
2022,0,5,1,11384485.31,4,8,2018
2017,0,5,1,11308947.71,9,6,2014
2021,0,4,1,11240356.89,18,5,2020
2023,0,5,1,11181822.6,10,11,2021
2021,0,11,2,4500000.0,1,3,2014
2022,0,5,1,10939444.68,23,12,2019
2021,0,5,1,10933894.0,16,3,2016
2018,0,11,2,4465594.0,9,9,2014
2022,0,11,2,4410320.61,4,8,2018
2020,0,5,1,10907840.78,18,7,2017
2022,0,11,2,4410009.0,19,10,2018
2019,0,10,1,10900587.0,23,7,2017
2018,0,6,1,431.8,29,4,2018
2019,0,16,3,444.18,12,4,2012
2014,0,7,3,444.46,4,11,2013
2017,0,5,1,10867224.0,30,10,2013
2015,0,16,3,459.99,16,11,2012
2019,0,11,2,4350000.02,4,7,2017
2015,0,5,1,10767161.7,8,12,2014
2018,0,16,3,479.0,13,5,2015
2015,0,5,1,10725918.59,29,1,2015
2022,0,11,2,4320469.15,25,6,2019
2023,0,5,1,10641798.6,26,11,2020
2021,0,11,2,4306384.6,4,7,2018
2022,0,5,1,10274340.2,9,2,2022
2015,0,5,1,10247316.87,14,7,2012
2014,0,5,1,10121259.42,12,12,2013
2015,0,5,1,10061013.23,3,3,2015
2014,0,5,1,10000000.0,23,3,2007
2018,0,5,1,10000000.0,24,8,2016
2017,0,5,1,9987835.43,6,1,2014
2022,0,5,1,9943174.48,18,8,2020
2017,0,4,1,9920658.0,18,5,2017
2018,0,5,1,9872660.0,11,3,2018
2020,0,16,3,500.0,11,1,2013
2014,0,5,1,9850000.0,10,11,2006
2015,0,5,1,9850000.0,28,1,2005
2023,0,5,1,9850000.0,16,1,2005
2019,0,5,1,9850000.0,24,6,2005
2016,0,5,1,9850000.0,7,1,2006
2015,0,5,1,9850000.0,29,10,2007
2023,0,5,1,9850000.0,12,11,2005
2014,0,5,1,9850000.0,27,11,2007
2023,0,5,1,9850000.0,13,1,2006
2017,0,5,1,9847943.46,18,6,2017
2021,0,5,1,9815415.87,7,6,2016
2016,0,12,2,500.0,19,1,2016
2020,0,5,1,9811406.25,2,10,2018
2019,0,5,1,9798712.88,25,1,2019
2019,0,5,1,9797661.75,19,8,2018
2022,0,10,1,9752264.0,8,7,2019
2018,0,4,1,9640795.28,3,5,2018
2015,0,5,1,9640512.34,27,3,2015
2022,0,5,1,9625650.01,8,7,2019
2017,0,5,1,9551792.45,23,6,2013
2021,0,5,1,9550480.65,9,2,2018
2014,0,5,1,9500000.0,1,4,2013
2020,0,5,1,9500000.0,10,6,2012
2020,0,4,1,9488588.29,28,2,2020
2019,0,5,1,9465066.76,17,11,2016
2022,0,5,1,9428361.0,21,5,2021
2022,0,5,1,9427421.01,2,9,2018
2015,0,5,1,9417725.88,10,5,2014
2018,0,5,1,9416959.59,12,2,2018
2023,0,5,1,9364685.5,21,2,2008
2020,0,5,1,9353525.59,24,5,2018
2020,0,5,1,9348772.26,31,12,2018
2016,0,12,2,500.0,24,1,2016
2017,0,5,1,9322897.04,12,4,2014
2023,0,4,1,9316651.63,23,7,2023
2018,0,4,1,9122046.0,30,8,2018
2019,0,5,1,9100000.0,15,12,2018
2018,0,5,1,9089948.42,21,2,2018
2021,0,5,1,8959045.42,11,3,2020
2021,0,5,1,8920336.15,16,11,2020
2020,0,5,1,8914076.24,1,11,2018
2018,0,5,1,8910810.75,27,2,2016
2014,0,5,1,8890752.32,20,11,2013
2021,0,11,2,4231423.0,18,6,2018
2015,0,16,3,525.22,30,12,2012
2022,0,11,2,4190264.4,29,7,2020
2017,0,5,1,8845687.48,5,2,2017
2023,0,11,2,4180501.72,7,12,2020
2018,0,11,2,4164445.0,16,5,2015
2018,0,11,2,4080000.0,19,4,2015
2023,0,4,1,8742536.18,31,12,2022
2016,0,5,1,8633219.94,28,2,2016
2020,0,5,1,8612565.0,29,6,2011
2016,0,16,3,538.2,27,11,2013
2021,0,5,1,8595901.66,21,12,2020
2014,0,5,1,8564223.33,29,8,2013
2022,0,5,1,8559839.06,30,4,2014
2022,0,4,1,8526665.62,5,4,2022
2022,0,4,1,8515664.16,10,8,2021
2020,0,5,1,8508000.0,7,6,2020
2016,0,5,1,8499102.0,26,9,2015
2018,0,11,2,4059140.0,24,10,2016
2016,0,4,1,8493800.0,1,12,2015
2022,0,11,2,4010000.01,23,6,2021
2016,0,5,1,8484683.5,29,1,2015
2018,0,5,1,8440774.52,14,5,2018
2016,0,5,1,8419060.0,18,3,2015
2023,0,4,1,8300000.0,26,6,2022
2022,0,4,1,8279328.16,9,8,2021
2019,0,5,1,8260200.7,8,9,2016
2020,0,5,1,8250345.76,9,2,2020
2021,0,4,1,8222988.92,18,5,2020
2015,0,5,1,8193510.0,1,7,2012
2016,0,5,1,8153000.0,28,7,2014
2014,0,5,1,8152043.58,14,6,2010
2016,0,5,1,8121791.11,4,12,2014
2017,0,5,1,8105405.91,4,7,2016
2018,0,4,1,8046141.0,3,7,2018
2021,0,4,1,7884586.13,20,1,2020
2016,0,16,3,598.16,28,3,2011
2017,0,11,2,3992530.47,29,6,2011
2019,0,5,1,7859335.39,2,3,2019
2017,0,11,2,3970752.0,4,8,2016
2019,0,5,1,7849000.0,3,6,2019
2014,0,5,1,7842507.47,8,7,2013
2023,0,4,1,7810039.85,14,6,2021
2021,0,5,1,7774897.5,12,2,2019
2022,0,11,2,3935000.0,1,2,2020
2019,0,5,1,7753500.0,9,6,2018
2016,0,11,2,3895833.34,6,1,2015
2018,0,11,2,3868817.84,14,11,2012
2018,0,5,1,7708827.66,6,12,2002
2016,0,5,1,7694373.6,18,10,2015
2018,0,16,3,601.24,13,11,2016
2019,0,4,1,7647332.0,30,8,2018
2015,0,5,1,7616805.69,31,5,2014
2020,0,5,1,7609546.21,2,10,2018
2020,0,5,1,7602018.75,18,11,2019
2023,0,4,1,7599050.0,9,5,2023
2020,0,5,1,7595479.51,27,2,2016
2021,0,5,1,7532635.24,17,9,2018
2018,0,5,1,7516000.0,5,7,2018
2014,0,5,1,7500380.33,22,2,2014
2020,0,4,1,7500000.0,28,10,2018
2016,0,11,2,3832500.0,24,3,2014
2017,0,5,1,7497600.0,14,11,2016
2022,0,11,2,3811800.0,31,7,2020
2016,0,11,2,3804166.66,6,1,2015
2019,0,5,1,7497365.0,7,1,2011
2015,0,11,2,3799999.99,19,6,2013
2017,0,11,2,3787063.01,22,11,2014
2017,0,11,2,3775000.0,20,9,2015
2019,0,11,2,3772903.25,13,9,2014
2020,0,4,1,7395181.58,9,6,2019
2021,0,11,2,3727900.0,26,6,2021
2019,0,11,2,3723196.94,18,7,2014
2020,0,11,2,3658518.44,1,7,2019
2023,0,12,2,700.0,19,3,2023
2020,0,11,2,3606320.0,15,1,2017
2023,0,11,2,3600379.0,8,6,2021
2021,0,11,2,3583614.4,17,8,2018
2017,0,11,2,3557178.0,22,8,2012
2021,0,11,2,3550736.0,15,11,2017
2020,0,11,2,3510977.0,1,7,2018
2020,0,11,2,3501500.0,13,4,2017
2020,0,11,2,3496283.2,30,6,2018
2020,0,11,2,3462069.0,5,9,2007
2021,0,11,2,3460000.0,11,2,2020
2021,0,11,2,3451049.59,17,5,2019
2020,0,11,2,3428773.6,30,6,2018
2022,0,11,2,3428630.0,9,11,2021
2015,0,11,2,3323233.0,13,12,2011
2023,0,5,1,7321350.2,23,8,2022
2023,0,11,2,3272290.0,28,8,2021
2020,0,11,2,3240000.0,19,5,2018
2020,0,11,2,3235040.0,1,7,2019
2018,0,11,2,3232729.74,29,8,2013
2017,0,11,2,3219480.0,14,2,2016
2014,0,11,2,3208200.0,9,8,2010
2018,0,11,2,3171799.92,21,6,2006
2016,0,11,2,3170968.0,4,9,2013
2023,0,11,2,3166687.0,13,9,2016
2019,0,11,2,3166650.0,22,9,2012
2016,0,11,2,3149712.71,1,1,2013
2020,0,11,2,3145240.0,30,6,2018
2018,0,11,2,3139380.0,15,7,2014
2014,0,11,2,3136200.0,27,6,2011
2019,0,11,2,3080076.0,9,4,2017
2021,0,11,2,3068092.0,26,8,2019
2021,0,11,2,3055000.0,4,9,2019
2022,0,11,2,3050000.0,28,5,2022
2014,0,11,2,3050000.0,15,2,2013
2023,0,5,1,7320000.0,4,10,2022
2018,0,11,2,3040176.99,29,5,2015
2020,0,11,2,3001500.0,4,8,2017
2023,0,11,2,3000377.76,30,6,2018
2015,0,11,2,3000000.0,7,5,2013
2016,0,11,2,3000000.0,8,5,2010
2023,0,11,2,3000000.0,16,6,2017
2022,0,11,2,3000000.0,26,12,2019
2019,0,11,2,3000000.0,14,2,2016
2018,0,9,3,716.8,31,1,2018
2015,0,5,1,7054366.09,23,4,2013
2016,0,11,2,2976798.0,29,11,2014
2020,0,5,1,7020914.31,25,9,2016
2021,0,5,1,7010917.85,31,8,2017
2022,0,11,2,2950000.0,24,1,2021
2020,0,11,2,2943184.0,30,6,2018
2015,0,16,3,749.56,27,10,2013
2023,0,5,1,7006404.2,30,9,2018
2016,0,7,3,760.0,22,7,2013
2017,0,5,1,7000000.0,25,9,2016
2022,0,4,1,6983000.0,10,8,2021
2021,0,11,2,2940000.0,26,8,2021
2022,0,4,1,6959558.78,31,8,2021
2021,0,5,1,6950000.0,14,3,2017
2021,0,5,1,6940014.0,25,4,2012
2018,0,5,1,6933874.46,5,7,2016
2014,0,11,2,2920000.0,2,10,2013
2017,0,5,1,6917170.0,22,10,2017
2022,0,4,1,6911587.95,5,2,2018
2020,0,5,1,6905256.19,31,12,2019
2017,0,5,1,6885407.14,15,5,2016
2016,0,5,1,6879450.0,20,7,2015
2020,0,11,2,2883976.0,10,8,2016
2016,0,5,1,6862137.51,12,6,2013
2020,0,11,2,2882507.77,1,7,2019
2023,0,11,2,2876874.33,25,11,2019
2019,0,11,2,2844022.0,10,7,2016
2020,0,5,1,6857897.98,7,2,2012
2022,0,5,1,6830000.0,10,4,2021
2020,0,5,1,6824419.5,21,7,2018
2015,0,11,2,2785123.0,25,3,2015
2020,0,4,1,6808753.49,17,10,2018
2020,0,5,1,6797440.0,31,10,2020
2022,0,4,1,6742000.0,3,1,2019
2023,0,11,2,2772351.7,16,8,2018
2017,0,5,1,6730039.08,17,7,2015
2023,0,5,1,6721100.0,13,9,2019
2015,0,5,1,6675069.0,17,10,2014
2022,0,4,1,6659174.16,15,12,2020
2019,0,11,2,2756000.0,7,7,2016
2022,0,5,1,6641185.39,10,1,2015
2017,0,11,2,2698000.0,27,5,2015
2020,0,5,1,6600288.12,19,2,2020
2022,0,5,1,6589696.12,20,1,2021
2022,0,7,3,820.0,15,6,2022
2015,0,11,2,2668448.0,11,11,2012
2020,0,11,2,2666620.0,30,6,2018
2023,0,5,1,6523296.0,7,9,2005
2021,0,5,1,6494126.38,2,7,2019
2017,0,5,1,6481480.7,17,4,2016
2022,0,5,1,6440883.18,4,2,2022
2022,0,5,1,6413695.0,27,5,2019
2018,0,5,1,6387143.25,9,8,2017
2022,0,5,1,6379873.0,10,8,2021
2020,0,5,1,6378404.37,23,12,2017
2022,0,11,2,2658800.0,11,7,2020
2021,0,11,2,2650000.0,6,12,2020
2019,0,16,3,854.82,30,7,2012
2015,0,11,2,2640242.28,16,4,2013
2020,0,5,1,6363941.88,31,8,2016
2017,0,5,1,6335850.0,4,8,2016
2021,0,11,2,2639817.0,5,6,2019
2021,0,4,1,6334514.45,12,9,2019
2021,0,5,1,6320004.55,30,6,2017
2021,0,4,1,6271247.06,21,9,2021
2016,0,5,1,6248899.4,3,7,2016
2017,0,5,1,6222555.85,3,4,2016
2022,0,4,1,6201771.0,3,4,2019
2016,0,5,1,6128500.0,24,3,2015
2014,0,12,2,889.5,3,1,2014
2020,0,5,1,6106610.0,10,11,2019
2021,0,5,1,6034306.51,3,12,2018
2017,0,16,3,896.46,17,9,2012
2020,0,5,1,6027351.16,12,2,2020
2023,0,5,1,5983732.0,5,5,2022
2020,0,4,1,5934642.07,23,4,2019
2018,0,5,1,5924693.27,26,2,2018
2019,0,11,2,2610000.0,3,2,2018
2016,0,5,1,5910480.59,1,8,2015
2021,0,5,1,5874500.0,8,5,2018
2022,0,4,1,5865239.21,7,12,2021
2023,0,5,1,5853249.0,2,5,2022
2022,0,4,1,5847549.0,9,8,2020
2017,0,16,3,913.5,5,8,2014
2018,0,5,1,5839137.61,30,12,2016
2022,0,5,1,5821814.34,20,7,2018
2019,0,4,1,5807400.0,25,8,2018
2022,0,5,1,5801665.0,22,5,2018
2018,0,5,1,5800000.0,26,12,2017
2019,0,4,1,5783700.0,25,5,2018
2019,0,5,1,5782673.92,12,4,2019
2018,0,5,1,5769996.8,1,1,2018
2020,0,5,1,5744750.0,31,7,2019
2015,0,5,1,5718714.94,7,2,2010
2015,0,7,3,950.0,1,11,2015
2019,0,5,1,5658680.92,8,9,2019
2022,0,11,2,2583926.0,30,10,2017
2017,0,5,1,5650000.0,11,1,2016
2022,0,5,1,5603398.67,26,1,2019
2015,0,5,1,5572030.3,8,6,2014
2021,0,5,1,5569607.01,4,8,2018
2021,0,5,1,5536536.34,11,5,2016
2020,0,5,1,5535000.0,6,8,2017
2019,0,9,3,966.22,4,10,2018
2015,0,11,2,2566862.71,15,6,2007
2022,0,4,1,5517000.0,9,8,2021
2014,0,5,1,5515016.37,26,3,2014
2020,0,5,1,5500000.0,29,4,2020
2014,0,16,3,997.78,3,9,2011
2014,0,16,3,997.78,6,8,2011
2019,0,5,1,5481000.0,23,7,2017
2016,0,12,2,1000.0,1,5,2014
2015,0,12,2,1000.0,14,4,2015
2022,0,5,1,5460970.35,27,1,2022
2014,0,12,2,1000.0,23,6,2013
2023,0,4,1,5452000.0,14,6,2022
2016,0,12,2,1000.0,3,6,2014
2015,0,12,2,1000.0,29,11,2014
2015,0,12,2,1000.0,30,6,2013
2019,0,11,2,2566080.0,22,8,2016
2020,0,12,2,1000.0,21,2,2020
2022,0,5,1,5411126.94,9,10,2019
2020,0,5,1,5400108.04,24,12,2017
2016,0,12,2,1000.0,18,1,2016
2018,0,5,1,5393000.0,3,12,2016
2018,0,11,2,2565000.0,6,5,2014
2016,0,12,2,1000.0,11,10,2015
2015,0,5,1,5298986.73,5,10,2014
2020,0,5,1,5263872.48,21,4,2018
2018,0,5,1,5242860.0,1,1,2017
2016,0,5,1,5234848.08,19,1,2014
2023,0,11,2,2539098.9,23,11,2022
2015,0,12,2,1000.0,12,11,2014
2014,0,11,2,2526382.14,14,11,2012
2018,0,4,1,5232600.0,21,10,2017
2016,0,5,1,5230342.41,22,9,2016
2016,0,12,2,1000.0,16,8,2015
2014,0,12,2,1000.0,27,11,2013
2018,0,5,1,5220477.7,21,7,2013
2020,0,11,2,2520320.0,21,8,2019
2014,0,12,2,1000.0,29,1,2014
2015,0,12,2,1000.0,10,4,2015
2016,0,5,1,5217990.0,17,4,2016
2022,0,4,1,5211477.0,14,9,2021
2022,0,4,1,5194510.89,19,7,2021
2021,0,5,1,5189715.44,10,9,2018
2017,0,12,2,1000.0,16,4,2017
2014,0,12,2,1000.0,18,6,2013
2020,0,11,2,2520320.0,6,7,2019
2015,0,5,1,5176986.9,18,6,2015
2016,0,12,2,1000.0,14,5,2013
2016,0,5,1,5170275.94,25,2,2015
2020,0,12,2,1000.0,28,2,2020
2018,0,12,2,1000.0,1,5,2018
2018,0,5,1,5133630.77,14,11,2017
2019,0,5,1,5086179.0,13,9,2019
2015,0,10,1,5053375.73,5,4,2014
2023,0,11,2,2510000.0,28,1,2016
2014,0,7,3,1000.0,10,11,2013
2022,0,11,2,2509999.23,2,10,2015
2017,0,11,2,2500000.0,11,2,2014
2014,0,5,1,5042369.85,10,7,2012
2014,0,12,2,1000.0,29,6,2013
2023,0,5,1,4996534.03,12,3,2020
2021,0,11,2,2500000.0,24,1,2019
2016,0,5,1,4988551.49,29,12,2015
2018,0,11,2,2482621.84,26,5,2010
2017,0,12,2,1000.0,6,10,2015
2020,0,12,2,1000.0,12,11,2017
2022,0,5,1,4977082.23,27,6,2011
2017,0,5,1,4966000.0,1,8,2017
2023,0,5,1,4962833.06,30,9,2022
2018,0,11,2,2469999.97,11,11,2015
2014,0,12,2,1000.0,27,6,2013
2014,0,12,2,1000.0,18,5,2014
2018,0,11,2,2424999.99,18,4,2017
2014,0,11,2,2421571.0,13,4,2009
2015,0,5,1,4947308.29,26,10,2014
2016,0,12,2,1000.0,16,11,2013
2022,0,11,2,2415787.0,13,9,2017
2014,0,12,2,1000.0,15,3,2013
2018,0,4,1,4935052.0,27,8,2018
2023,0,5,1,4879483.52,14,8,2021
2014,0,12,2,1000.0,12,2,2013
2016,0,5,1,4871087.26,25,9,2013
2014,0,12,2,1000.0,26,3,2013
